NUMBER,ID,ENGLISH,CL_ENGLISH,CHINESE,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,Sun-1991-1004-79,April (chicken month),April,四月,2847,APRIL
2,Sun-1991-1004-83,August (bovine month),August,八月,2851,AUGUST
3,Sun-1991-1004-87,December (snake month),December,十二月,2855,DECEMBER
4,Sun-1991-1004-77,February (sheep month),February,二月,2037,FEBRUARY
5,Sun-1991-1004-76,January (horse month),January,正月,2036,JANUARY
6,Sun-1991-1004-82,July (rat month),July,七月,2850,JULY
7,Sun-1991-1004-81,June (pig month),June,六月,2849,JUNE
8,Sun-1991-1004-78,March (monkey month),March,三月,2846,MARCH
9,Sun-1991-1004-80,May (dog month),May,五月,2848,MAY (MONTH)
10,Sun-1991-1004-86,November (dragon),November,十一月,2854,NOVEMBER
11,Sun-1991-1004-85,October (rabbit month),October,十月,2853,OCTOBER
12,Sun-1991-1004-84,September (tiger month),September,九月,2852,SEPTEMBER
13,Sun-1991-1004-1001,again;again,again,再(再来),204,AGAIN
14,Sun-1991-1004-253,arm (upper),arm,胳臂,1673,ARM
15,Sun-1991-1004-740,arrive;arr. throughout the yr,arrive,到,1387,ARRIVE
16,Sun-1991-1004-322,aunt (father's elder sister),aunt (paternal; elder),伯母,2170,PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)
17,Sun-1991-1004-330,aunt (mater.,aunt (maternal),姨母,2176,MATERNAL AUNT
18,Sun-1991-1004-330,aunt (mater.; older than mom),aunt (maternal),姨母,2176,MATERNAL AUNT
19,Sun-1991-1004-330,aunt (mother's elder sister),aunt (maternal),姨母,2176,MATERNAL AUNT
20,Sun-1991-1004-326,aunt (paternal,aunt (paternal),姑母,2175,PATERNAL AUNT
21,Sun-1991-1004-326,aunt (paternal) direct address,aunt (paternal),姑母,2175,PATERNAL AUNT
22,Sun-1991-1004-326,aunt (paternal; elder)(direct),aunt (paternal),姑母,2175,PATERNAL AUNT
23,Sun-1991-1004-326,aunt (paternal; elder)(ref),aunt (paternal),姑母,2175,PATERNAL AUNT
24,Sun-1991-1004-316,autonym (Burmese),autonym,本族/自称,,
25,Sun-1991-1004-316,autonym; autonym (ancient),autonym,本族/自称,,
26,Sun-1991-1004-258,back / waist,back (of body),脊背,1291,BACK
27,Sun-1991-1004-443,bamboo bucket,barrel / pail / bucket,桶,2052,BUCKET
28,Sun-1991-1004-443,barrel / pail / bucket for water,barrel / pail / bucket,桶,2052,BUCKET
29,Sun-1991-1004-793,begin (caus.),begin,开始,1806,BEGIN
30,Sun-1991-1004-260,belly (outside part of body),belly,肚子,1251,BELLY
31,Sun-1991-1004-774,birth,birth; give,生(小孩),1195,GIVE BIRTH
32,Sun-1991-1004-774,birth; give (polite term),birth; give,生(小孩),1195,GIVE BIRTH
33,Sun-1991-1004-774,birth; give (taboo),birth; give,生(小孩),1195,GIVE BIRTH
34,Sun-1991-1004-774,birth; give; give birth (animal),birth; give,生(小孩),1195,GIVE BIRTH
35,Sun-1991-1004-535,bite(snake,bite,咬,1403,BITE
36,Sun-1991-1004-535,bite(snake; rat); bite(by dog),bite,咬,1403,BITE
37,Sun-1991-1004-889,bitter (N),bitter,苦,887,BITTER
38,Sun-1991-1004-109,black bovine,bovine,牛,3044,BOVINE
39,Sun-1991-1004-544,blow on fire,blow with mouth,吹,176,BLOW (WITH MOUTH)
40,Sun-1991-1004-544,blow on fire; blow flute,blow with mouth,吹,176,BLOW (WITH MOUTH)
41,Sun-1991-1004-627,boil (rice); boil (water),cook / boil (rice),煮(饭),1100,COOK (SOMETHING)
42,Sun-1991-1004-496,book (TibStyle);book(newstyle),book,书,963,BOOK
43,Sun-1991-1004-692,borrow / lend (money);(things),borrow / lend,借(钱),1823,BORROW
44,Sun-1991-1004-692,borrow / lend thing,borrow / lend,借(钱),1823,BORROW
45,Sun-1991-1004-692,borrow / lend;borrow / lend thing,borrow / lend,借(钱),1823,BORROW
46,Sun-1991-1004-427,bow and arrow;bow (weapon),bow (weapon),弓,994,BOW
47,Sun-1991-1004-447,bowl,bowl,碗,1530,BOWL
48,Sun-1991-1004-447,bowl; wooden,bowl,碗,1530,BOWL
49,Sun-1991-1004-447,bowl; wooden; porcelain,bowl,碗,1530,BOWL
50,Sun-1991-1004-765,break (rope,break (v.i. of rope; etc.),断,460,BREAK (OF ROPE)
51,Sun-1991-1004-765,break (rope; etc.),break (v.i. of rope; etc.),断,460,BREAK (OF ROPE)
52,Sun-1991-1004-766,break(vi,break,破,680,BREAK (DESTROY OR GET DESTROYED)
53,Sun-1991-1004-766,break(vi;rope);break (vi;stick,break,破,680,BREAK (DESTROY OR GET DESTROYED)
54,Sun-1991-1004-259,breast; milk,breast,乳房,1402,BREAST
55,Sun-1991-1004-477,bridge (general),bridge,桥,1011,BRIDGE
56,Sun-1991-1004-335,bro (younger)direct / general,brother (younger),弟弟,1760,YOUNGER BROTHER
57,Sun-1991-1004-335,bro (younger)used by elder bro,brother (younger),弟弟,1760,YOUNGER BROTHER
58,Sun-1991-1004-333,brother (elder) (direct),brother (elder),哥哥,1759,OLDER BROTHER
59,Sun-1991-1004-190,buckwheat; buckwheat (sweet),buckwheat (sweet),荞子(甜荞),2040,BUCKWHEAT
60,Sun-1991-1004-788,bud (of crops),bud,发芽,2076,SPROUT (VERB)
61,Sun-1991-1004-109,bull,bovine,牛,3044,BOVINE
62,Sun-1991-1004-109,bull; cow,bovine,牛,3044,BOVINE
63,Sun-1991-1004-881,calf,tight,紧(绑),3053,TIGHT
64,Sun-1991-1004-881,calf;thigh,tight,紧(绑),3053,TIGHT
65,Sun-1991-1004-547,call so.; cry out,cry out / yell,喊,715,SHOUT
66,Sun-1991-1004-575,carrytowardspkr;carryfromspkr,carry on back,背,465,CARRY ON BACK
67,Sun-1991-1004-773,change;,change / transform,变,1264,CHANGE
68,Sun-1991-1004-448,chopsticks for fire,chopsticks,筷子,1987,CHOPSTICKS
69,Sun-1991-1004-530,close (eye); close (door),close (eye),闭,2063,CLOSE (EYES)
70,Sun-1991-1004-836,cloudy (V),cloudy,阴(天),2341,CLOUDY
71,Sun-1991-1004-884,cold (water;food),cold,冷(水),1287,COLD
72,Sun-1991-1004-737,come (of rain,come,来,1446,COME
73,Sun-1991-1004-737,come (of rain; people),come,来,1446,COME
74,Sun-1991-1004-739,come back;go back,return / go back,回(家),1444,TURN AROUND
75,Sun-1991-1004-627,cook / boil (rice); boil meat,cook / boil (rice),煮(饭),1100,COOK (SOMETHING)
76,Sun-1991-1004-37,copper (yellow),copper,铜,1825,COPPER
77,Sun-1991-1004-37,copper (yellow); copper (red),copper,铜,1825,COPPER
78,Sun-1991-1004-37,copper(red);copper (yellow),copper,铜,1825,COPPER
79,Sun-1991-1004-759,crack wood;crack earth / melon,crack,裂开,3080,SPLIT OPEN
80,Sun-1991-1004-634,cut (vegetable);cut meat,cut (vegetable),切(菜),2156,CUT (WITH KNIFE)
81,Sun-1991-1004-634,cut ear of grain; cut root,cut (vegetable),切(菜),2156,CUT (WITH KNIFE)
82,Sun-1991-1004-634,cut meat;cut melon;cut veg's,cut (vegetable),切(菜),2156,CUT (WITH KNIFE)
83,Sun-1991-1004-102,day,day(time),白天,1225,DAY (NOT NIGHT)
84,Sun-1991-1004-88,day (24 hours) (measure word),day (24 hours),天(三天),1260,DAY (24 HOURS)
85,Sun-1991-1004-100,day; twentieth of month (lunar,day/ twentieth of month,二十日,,
86,Sun-1991-1004-130,dhole,wolf,狼,522,WOLF
87,Sun-1991-1004-130,dhole; jackal,wolf,狼,522,WOLF
88,Sun-1991-1004-597,dig (ditch),dig,挖,1418,DIG
89,Sun-1991-1004-122,dragon (sky),dragon,龙,2038,DRAGON
