NUMBER,ID,ENGLISH,CL_ENGLISH,CHINESE,CONCEPTICON_ID,CONCEPTICON_GLOSS
90,Sun-1991-1004-534,drink; drink (caus.),drink,喝(水),1401,DRINK
91,Sun-1991-1004-612,drive animal;drive out,lead (animal),牵(牛),43,LEAD (GUIDE)
92,Sun-1991-1004-713,drive verbally;drive w / stone,drive away,赶(走),30,DISPEL
93,Sun-1991-1004-505,drum (big); drum (small hand),drum,鼓,908,DRUM
94,Sun-1991-1004-749,dry in the sun (outdoors),dry in the sun,晒,2015,MAKE DRY
95,Sun-1991-1004-73,dry season,winter,冬,1471,WINTER
96,Sun-1991-1004-631,dry(clothes)nr fire;dry(kang),dry (clothes) near fire,烤(衣服),2015,MAKE DRY
97,Sun-1991-1004-471,dung / manure of cow,dung / manure,粪,2057,DUNG (ANIMAL FAECES)
98,Sun-1991-1004-372,earring (big); earring (small),earring,耳环,770,EARRING
99,Sun-1991-1004-533,eat rice; eat meat,eat,吃,1336,EAT
100,Sun-1991-1004-533,eat; eat (causative),eat,吃,1336,EAT
101,Sun-1991-1004-533,eat; eat (of birds),eat,吃,1336,EAT
102,Sun-1991-1004-297,enemy (personal),enemy,敌人,1358,ENEMY
103,Sun-1991-1004-748,exist / be present (of animals),exist / be present,在(家),1579,BE
104,Sun-1991-1004-850,fat (beef),fat (meat),肥(肉),323,FAT (ORGANIC SUBSTANCE)
105,Sun-1991-1004-850,fat (pork),fat (meat),肥(肉),323,FAT (ORGANIC SUBSTANCE)
106,Sun-1991-1004-319,father (ref.);father (direct),father,父亲,1217,FATHER
107,Sun-1991-1004-319,father(direct);father (gen'l),father,父亲,1217,FATHER
108,Sun-1991-1004-331,father-in-law (direct address),father-in-law,岳父,1055,FATHER-IN-LAW
109,Sun-1991-1004-608,feed livestock;feed child,feed,喂(鸡),739,FEED
110,Sun-1991-1004-608,feed; feed child,feed,喂(鸡),739,FEED
111,Sun-1991-1004-470,fertilizer (manure),fertilizer,肥料,,
112,Sun-1991-1004-709,fight (of cattle),fight,打架,1423,FIGHT
113,,fine (flour),,,2157,FINE OR THIN
114,Sun-1991-1004-782,fly; fly in circles,fly,飞,1441,FLY (MOVE THROUGH AIR)
115,Sun-1991-1004-407,fodder,feed,食(猪食),3046,FODDER
116,Sun-1991-1004-253,forearm,arm,胳臂,1673,ARM
117,Sun-1991-1004-933,forty (Tib. borr),forty,四十,1716,FORTY
118,Sun-1991-1004-296,friend (btwn men),friend,朋友,1325,FRIEND
119,Sun-1991-1004-896,full / satiated (V),full / satiated,饱,106,SATIATED
120,,future,,,2427,FUTURE
121,Sun-1991-1004-694,give / send / deliver;send guest,give / send / deliver,送(东西),1447,GIVE
122,Sun-1991-1004-702,give out / distribute wages,give out / distribute,发,196,DONATE
123,Sun-1991-1004-702,give out / distribute;germinate,give out / distribute,发,196,DONATE
124,Sun-1991-1004-743,go upward,ascend,上(山),705,GO UP (ASCEND)
125,Sun-1991-1004-317,grandfather(direct);grandfathe,grandfather,祖父,1383,GRANDFATHER
126,Sun-1991-1004-318,grandmother (direct),grandmother,祖母,1496,GRANDMOTHER
127,Sun-1991-1004-218,grass (wild);cattle feed,grass,草,606,GRASS
128,Sun-1991-1004-364,grave;grave mound,grave,坟墓,1773,GRAVE
129,Sun-1991-1004-28,ground; ground (ploughed),ground,地(旱地),2159,GROUND
130,Sun-1991-1004-947,half;halfway,half,半,816,HALF
131,Sun-1991-1004-661,hang (object) (caus.),hang (object),挂,357,HANG UP
132,Sun-1991-1004-370,hat for rain,hat,帽子,771,HAT
133,Sun-1991-1004-786,hatch (v.i.); hatch (vt),hatch,孵,2075,BROOD (VERB)
134,Sun-1991-1004-476,"highway (""motor veh. road"")",highway,公路,,
135,Sun-1991-1004-710,hit / beat with fist,hit / beat,打(人),1665,BEAT
136,Sun-1991-1004-349,home;home (use as M.W.),home,家,2406,HOME
137,Sun-1991-1004-516,honorific surname; surname,surname,姓,,
138,Sun-1991-1004-444,hoop (thin bamboo strips),hoop,箍子,,
139,Sun-1991-1004-823,horizontal (N),horizontal,横,2376,HORIZONTAL
140,,hot season,,,1342,SUMMER
141,Sun-1991-1004-639,insert seedling,insert / stick into,插,3071,INSERT
142,Sun-1991-1004-900,itch (N),itch,痒,148,ITCH
143,Sun-1991-1004-900,itch (V),itch,痒,148,ITCH
144,Sun-1991-1004-900,itch (scrath-),itch,痒,148,ITCH
145,,jew's harp,,,3048,MOUTH HARP
146,Sun-1991-1004-565,kick;kick (person by animal),kick,踢,1135,KICK
147,Sun-1991-1004-633,kill;kill pigs,kill,杀,1417,KILL
148,Sun-1991-1004-633,kill;slaughter cows,kill,杀,1417,KILL
149,Sun-1991-1004-633,kill;slaughter cows; pigs; etc,kill,杀,1417,KILL
150,Sun-1991-1004-409,knife (long),knife,刀,1352,KNIFE
151,Sun-1991-1004-907,lazy (N),lazy,懒惰,1564,LAZY
152,Sun-1991-1004-769,leak (house);leak (iron pot),leak,漏(水),2253,DRIP (EMIT LIQUID)
153,Sun-1991-1004-851,lean (pork),lean (meat),瘦(肉),2219,LEAN (MEAT)
154,Sun-1991-1004-167,leech (mountain),leech,水蛭,2273,LEECH
155,Sun-1991-1004-381,legging worn by men,legging,裹腿,,
156,Sun-1991-1004-381,legging worn by women,legging,裹腿,,
157,Sun-1991-1004-692,lend,borrow / lend,借(钱),1823,BORROW
158,Sun-1991-1004-126,leopard (=tiger),leopard,豹子,1139,LEOPARD
159,Sun-1991-1004-402,liquor (corn); liquor (white),liquor,酒,842,LIQUOR
160,Sun-1991-1004-402,liquor (highland barley),liquor,酒,842,LIQUOR
161,Sun-1991-1004-402,liquor (white lightning),liquor,酒,842,LIQUOR
162,Sun-1991-1004-532,listen; hear,listen,听,1608,LISTEN
163,Sun-1991-1004-682,lose / be beaten;lose (gambling),lose (a game),输,1660,LOSE
164,Sun-1991-1004-798,lose a fight,lose,失败,782,DEFEAT
165,Sun-1991-1004-386,mat for drying food in the sun,mat,席子,195,MAT
166,Sun-1991-1004-386,mat woven from bamboo leaves,mat,席子,195,MAT
167,Sun-1991-1004-202,melon (winter),melon,瓜,507,MELON
168,Sun-1991-1004-772,melt (simplex); melt (causative),melt,融化,2334,MELT
169,Sun-1991-1004-467,metal weight on steelyard(big),metal weight on steelyard,秤砣,,
170,Sun-1991-1004-434,mill (water-powered),mill,磨(水磨),636,MILL
171,Sun-1991-1004-485,money (general term),money,钱,1559,MONEY
172,Sun-1991-1004-436,mortar(sm stone;mortar(bigwood,mortar,臼,224,MORTAR CRUSHER
173,Sun-1991-1004-320,mother(direct);mother(gen'l),mother,母亲,1216,MOTHER
174,Sun-1991-1004-320,mother(ref);mother (direct),mother,母亲,1216,MOTHER
175,Sun-1991-1004-332,mother-in-law (direct,mother-in-law,岳母,1050,MOTHER-IN-LAW
176,Sun-1991-1004-332,mother-in-law (direct; general,mother-in-law,岳母,1050,MOTHER-IN-LAW
177,Sun-1991-1004-302,mute (male);mute (female),mute,哑巴,1666,MUTE
178,Sun-1991-1004-343,nephew (reference),nephew,侄子,1063,NEPHEW
179,,new year's eve,,,2188,NEW YEAR'S EVE
180,Sun-1991-1004-344,niece (reference),niece,侄女,1642,NIECE
181,Sun-1991-1004-105,night; dusk,night,夜里,1233,NIGHT
182,Sun-1991-1004-163,"nit (""louse-egg"")",nit,虮子,267,NIT
183,Sun-1991-1004-397,oil from animal,oil,油,1484,OIL (ORGANIC SUBSTANCE)
184,Sun-1991-1004-857,old (of men),old (of people),老(人老),565,OLD (OF MAN)
185,Sun-1991-1004-867,old (of vegetable),old (things),旧(服),2113,OLD (USED)
186,Sun-1991-1004-292,old man,old person,老人,725,OLD PERSON
187,Sun-1991-1004-292,old man (colloq),old person,老人,725,OLD PERSON
188,Sun-1991-1004-911,one ;,one,一,1493,ONE
189,Sun-1991-1004-531,open (general term),open (eye),睁开,1156,OPEN
190,Sun-1991-1004-901,pain / ache (V),pain / ache,痛,1783,PAIN
191,Sun-1991-1004-201,pea,beans,豆子,832,BEAN
192,Sun-1991-1004-212,pepper,pepper; hot / chili,辣椒,1385,PEPPER
193,Sun-1991-1004-212,pepper; hot / chili (from Thai),pepper; hot / chili,辣椒,1385,PEPPER
194,Sun-1991-1004-435,pestle (large wooden),pestle,碓,225,PESTLE
195,Sun-1991-1004-556,pick up stuff,pick up,拾(拾起),371,PICK UP
196,Sun-1991-1004-221,plant seedlings,seedling,秧子,3050,SEEDLING
197,Sun-1991-1004-595,plough; plow virgin soil,plough,犁(地),1921,PLOUGH
198,Sun-1991-1004-180,poplar cypress tree (=?),oak,青冈树,644,OAK
199,Sun-1991-1004-441,pot (stir fry),pot / wok,锅,2056,WOK
200,Sun-1991-1004-671,press;press flat,press,压,1913,PRESS
201,Sun-1991-1004-646,put on / wear;put on / wear (caus),put on / wear,穿,158,PUT ON
202,Sun-1991-1004-646,put on / wear;wear shoes,put on / wear,穿,158,PUT ON
203,Sun-1991-1004-378,raincoat made of palm tree,raincoat (of leaves; hemp fibe,蓑衣,,
204,Sun-1991-1004-70,rainy season,spring,春,1537,SPRINGTIME
205,Sun-1991-1004-200,"ramie (""fire hemp"")",ramie,苎麻,3063,RAMIE
206,Sun-1991-1004-200,"ramie (""male hemp"")",ramie,苎麻,3063,RAMIE
207,Sun-1991-1004-561,reach out(foot),reach out(hand),伸(手),214,STRETCH
208,Sun-1991-1004-546,read; read (borr. from C),read,读,724,READ
209,Sun-1991-1004-503,reed-pipe instrument,flute-like instrument (Turkic),唢呐,2136,BRASS INSTRUMENT (HORN OR TRUMPET)
210,Sun-1991-1004-581,rest ordinary days;rest(walkin,rest,休息,168,REST
211,Sun-1991-1004-739,ret. / go back;ret / go back;reply,return / go back,回(家),1444,TURN AROUND
212,Sun-1991-1004-902,right / correct (C),right / correct,正确,2231,CORRECT (SOMETHING OR SOMEBODY)
213,Sun-1991-1004-902,right / correct (N),right / correct,正确,2231,CORRECT (SOMETHING OR SOMEBODY)
214,Sun-1991-1004-751,rise,rise (of the sun),升起,568,RISE (MOVE UPWARDS)
215,Sun-1991-1004-751,rise / appear (of the sun),rise (of the sun),升起,568,RISE (MOVE UPWARDS)
216,Sun-1991-1004-131,roebuck(male);roebuck(female),roebuck,獐子,,
217,Sun-1991-1004-807,round (ball shape),round,圆,1395,ROUND
218,Sun-1991-1004-431,saddle for horse,saddle,鞍子,3065,SADDLE
219,Sun-1991-1004-431,saddle;saddle for horse,saddle,鞍子,3065,SADDLE
220,Sun-1991-1004-369,scarf for head / turban(male),scarf for the head / turban,头巾,3066,SCARF OR TURBAN
221,Sun-1991-1004-369,scarf for head / turban-m;-f,scarf for the head / turban,头巾,3066,SCARF OR TURBAN
222,Sun-1991-1004-708,scold to so.'s face,scold,骂(人),299,SCOLD
223,Sun-1991-1004-382,shoe (leather),shoe,鞋,1381,SHOE
224,Sun-1991-1004-389,silk (cloth); satin,silk (cloth),绸子,1641,SILK
225,Sun-1991-1004-36,silver (white silver),silver,银子,759,SILVER
226,,sing folksong before / aft work,,,,
227,Sun-1991-1004-336,sis (young) < e.b.; sis < e.s.,sister (younger),妹妹,1761,YOUNGER SISTER
228,Sun-1991-1004-334,sister (elder) (dir.;e.s. gen,sister (elder),姐姐,1758,OLDER SISTER
229,Sun-1991-1004-336,sister (younger) < elder bro,sister (younger),妹妹,1761,YOUNGER SISTER
230,Sun-1991-1004-336,sister (younger) by elder sis.,sister (younger),妹妹,1761,YOUNGER SISTER
231,Sun-1991-1004-336,sister(younger) direct / general,sister (younger),妹妹,1761,YOUNGER SISTER
232,Sun-1991-1004-380,skirt male; skirt female,skirt,裙子,1600,SKIRT
233,Sun-1991-1004-828,slanting,slanting; not upright,歪,3075,SLANTED
234,Sun-1991-1004-828,slanting; not upright (V),slanting; not upright,歪,3075,SLANTED
235,Sun-1991-1004-30,slope (ascend);slope (descend),slope,坡,3076,SLOPE
236,Sun-1991-1004-858,small (age),young,年轻,1207,YOUNG
237,Sun-1991-1004-278,snot (clear);snot,snot,鼻涕,208,NASAL MUCUS (SNOT)
238,Sun-1991-1004-401,soup (<C);juice (broth?),soup,汤,1547,SOUP
239,Sun-1991-1004-559,sow broadcast;dibble seeds,scatter / broadcast,撒,2064,SCATTER (SEEDS)
240,,soybean,,,2028,SOYA BEAN
241,Sun-1991-1004-511,speech; language,language,语言,1307,LANGUAGE
242,Sun-1991-1004-542,spit; spit blood,spit,吐,1440,SPIT
243,Sun-1991-1004-759,split open;break,crack,裂开,3080,SPLIT OPEN
244,Sun-1991-1004-569,standing; stand up,stand,站(立),1442,STAND
245,Sun-1991-1004-466,steelyard large;steelyardSmall,steelyard,秤,,
246,Sun-1991-1004-223,stem / stalk of grain,stem / stalk,茎,2628,PLANT STEM
247,Sun-1991-1004-629,stir-fry vegs;stir-fry grain,stir-fry,炒,2162,STIR FRY
248,Sun-1991-1004-227,stone / pit (soft),stone / pit,核(果核),1762,STONE (OF FRUIT)
249,Sun-1991-1004-441,stone pot; red copper pot,pot / wok,锅,2056,WOK
250,Sun-1991-1004-18,stream,river,河,666,RIVER
251,Sun-1991-1004-550,strike w / palm;strike w / fist,strike with open palm,拍,2133,STRIKE OR BEAT
252,Sun-1991-1004-905,stupid (male; female),stupid,愚蠢,1518,STUPID
253,Sun-1991-1004-404,sugar (red),sugar,糖,862,SUGAR
254,Sun-1991-1004-835,sunny (V),sunny,晴(天),2340,SUNNY
255,Sun-1991-1004-687,surround / encircle,surround,包围,,
256,Sun-1991-1004-277,"sweat (""black sweat"")",sweat,汗,125,SWEAT (SUBSTANCE)
257,Sun-1991-1004-676,take back,take back / put away,收,,
258,,take out from water,water,,,
259,,take out from water with tool,,,,
260,Sun-1991-1004-983,that;that (far),that,那,78,THAT
261,Sun-1991-1004-984,there;there (distal),there,那里,1937,THERE
262,Sun-1991-1004-844,thick (tree),thick,稠,2239,DENSE
263,,thigh,,,800,THIGH
264,Sun-1991-1004-812,thin (slender);thin (screen),thin (slender),细,2249,THIN (OF SHAPE OF OBJECT)
265,Sun-1991-1004-515,thing / matter / event (work),thing / matter / event,事情,,
266,Sun-1991-1004-898,thirsty (V),thirsty,渴(口渴),847,THIRSTY
267,,threshing time,,,,
268,Sun-1991-1004-664,tie(firewood)into bund;tieAnim,tie (e.g. firewood)into a bund,捆,1917,TIE
269,Sun-1991-1004-899,tired (V),tired,累,1757,TIRED
270,,tree trunk,,,344,TREE TRUNK
271,,two-stringed instrument,,,3052,ERHU
272,Sun-1991-1004-327,uncle (maternal) direct addres,uncle (maternal),舅父,2692,MATERNAL UNCLE (MOTHER'S BROTHER)
273,Sun-1991-1004-321,uncle (paternal,uncle (paternal; elder),伯父,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER)
274,Sun-1991-1004-321,uncle (paternal; elder)(direct,uncle (paternal; elder),伯父,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER)
275,Sun-1991-1004-321,uncle (paternal; elder)(ref.),uncle (paternal; elder),伯父,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER)
276,Sun-1991-1004-323,uncle (paternal; younger)(ref),uncle (paternal; younger),叔父,2174,PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)
277,Sun-1991-1004-329,uncle(mom's elder sis' husband,uncle (maternal aunt's husband,姨父,2694,MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)
278,Sun-1991-1004-824,upright (N),upright,竖,,
279,Sun-1991-1004-674,want;will / shall,want,要,1784,WANT
280,,water flowers;water ground,,,,
281,Sun-1991-1004-22,well (natural),well,井,954,WELL
282,Sun-1991-1004-430,whip for horse,whip,鞭子,2630,WHIP
283,Sun-1991-1004-7,wind;gale,wind,风,960,WIND
284,Sun-1991-1004-171,wing,wing,翅膀,1257,WING
285,Sun-1991-1004-171,wing; feather; fin,wing,翅膀,1257,WING
286,Sun-1991-1004-903,wrong / mistaken (N),wrong / mistaken,错误,1390,WRONG
287,Sun-1991-1004-64,year (age of person,year / age,岁,1789,AGE
288,Sun-1991-1004-64,year (age of person; animal),year / age,岁,1789,AGE
289,Sun-1991-1004-294,young woman (unmarried),young woman,青年女子,77,YOUNG WOMAN
