Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	NULL	NULL	210	U+0024		AmdoTibetanBlabrang,BokarLhoba,DanbaErgong,Idu,JianchuanBai,LijiangNaxi,MaerkangrGyalrong,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Sulong,TaobaPumi,Tujia
!	NULL	NULL	NULL	5	U+0021	"ci⁵⁵me⁵⁵ !!!!!"	Idu
?	NULL	NULL	NULL	14	U+003F	"ta war war kɐ ʃɐt ??,tsʰu³³le̱⁵⁵zo²?,ɣa⁵⁵me⁵³ ????"	JianchuanBai,LijiangNaxi,MaerkangrGyalrong,MileYi,MojiangYi,TaobaPumi
|	NULL	NULL	NULL	52	U+007C	"ka nə lo |sɐr,pə |ju,ʁa |jɯ"	BokarLhoba,DanbaErgong,MaerkangrGyalrong,MawoQiang,Namuyi,WrittenTibetan
ˇ	NULL	NULL	NULL	5	U+02C7	"bɔ³³sˇ³³,khˇ³⁵tse³³,tuŋ¹³mˇ⁵³"	BlackLahu,MamaTshona
^◦	NULL	NULL	NULL	2	U+005E U+25E6	"◦thy²¹,◦ti̱⁵⁵"	Jingpho,NanjianYi
...	NULL	NULL	NULL	6	U+002E U+002E U+002E	"mɑ¹...hnɑŋ¹,ɑ...hsõ⁵⁵,ɑ¹...hsuṁ³"	RangoonBurmese,WrittenBurmese
^⁵³	NULL	NULL	NULL	1	U+005E U+2075 U+00B3	"⁵³ȵe¹³◦bo⁵³"	KhamsTibetan
***$	NULL	NULL	NULL	1	U+002A U+002A U+002A U+0024	"snom***"	WrittenTibetan
^a$	a	A	Vowel	1	U+005E U+0061 U+0024	"a"	MawoQiang
^i$	i	I	Vowel	2	U+005E U+0069 U+0024	"i"	BokarLhoba,MaerkangrGyalrong
^aː$	aː	A	Vowel	2	U+005E U+0061 U+02D0 U+0024	"aː"	BokarLhoba
^eː$	eː	E	Vowel	2	U+005E U+0065 U+02D0 U+0024	"eː"	BokarLhoba
^iː$	iː	I	Vowel	1	U+005E U+0069 U+02D0 U+0024	"iː"	BokarLhoba
^l̩$	l̩	L	Consonant	2	U+005E U+006C U+0329 U+0024	"l̩"	MawoQiang,XideYi
^oː$	oː	U	Vowel	1	U+005E U+006F U+02D0 U+0024	"oː"	BokarLhoba
^a³³mɛ³³~ko³³$	a ³³ + m ɛ ³³ + k o ³³	A 4 _ M E 4 _ K U 4	Vowel Tone Marker Consonant Vowel Tone Marker Consonant Vowel Tone	1	U+005E U+0061 U+00B3 U+00B3 U+006D U+025B U+00B3 U+00B3 U+007E U+006B U+006F U+00B3 U+00B3 U+0024	"a³³mɛ³³~ko³³"	Jinuo
-	+	_	Marker	26	U+002D	"paŋ̩¹⁵ - no¹⁵pu¹³,ro-tsik,so-pho"	LhasaTibetan,MotuoTsangla
1	¹ +	6 _	Tone Marker	1	U+0031	"ɑ1lupthɑ¹mɑ³"	WrittenBurmese
A	a	A	Vowel	19	U+0041	"thAʔ⁵³len¹³po⁵³,tshøʔ⁵³jA¹³,ɕA³³ ʑi³³"	BlackLahu,MamaTshona,MileYi,NanhuaYi
G	ɢ	K	Consonant	13	U+0047	"sGo¹³,sGo¹³dʒõ¹³,ŋGɛ⁵⁵ndʐua³⁵"	Muya,QinghuaPumi,TaopingQiang
a	a	A	Vowel	7939	U+0061	"hmak ȵə,khal ldʒi,ʔa◦ʑaŋ"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangNusu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MotuoTsangla,Muya,Namuyi,NanjianYi,QinghuaPumi,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
