Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
b	b	P	Consonant	1298	U+0062	"a³³bia⁵³,tʂu³¹bu¹³,ɦbab"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,DafangYi,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,Kaman,KhamsTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,Sulong,TaobaPumi,TaopingQiang,Trung,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
c	c	C	Consonant	143	U+0063	"kwe⁵⁵cɑ⁵⁵,mer¹³coʔ¹³,thik⁵³pa⁵³-cap¹³"	AmdoTibetanZeku,LhasaTibetan,MaerkangrGyalrong,MamaTshona,NanjianYi,Sulong,Trung
d	d	T	Consonant	1047	U+0064	"gdon ɦdre,sɑ³¹du³³,ɕi³¹du³⁵"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,DafangYi,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,Kaman,KhamsTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,Sulong,TaobaPumi,TaopingQiang,Trung,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
e	e	E	Vowel	4760	U+0065	"kjeʔ²¹,ʐəɹ³³the³³,ʔoː⁵⁵te¹³chᴀʔ⁵³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
f	f	B	Consonant	127	U+0066	"dzɿ⁵³fu⁵³,peʴ⁵⁵fɑ²¹,xu⁵⁵li⁵⁵fɔ³³"	Anong,BijiangBai,BijiangNusu,BlackLahu,CaiyuanHani,DafangYi,DaliBai,DazhaiHani,Guiqiong,JianchuanBai,Jinuo,LijiangNaxi,Lisu,Maru,MileYi,MojiangYi,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,ShuikuiHani,Sulong,TaopingQiang,XideYi,YongningNaxi
g	g	K	Consonant	1101	U+0067	"grog ma,sga,ɦbrug skad"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,DafangYi,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Kaman,KhamsTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,Sulong,TaobaPumi,TaopingQiang,Trung,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
h	h	H	Consonant	311	U+0068	"heʴh³³kuŋ³³,tɕhi³³hĩ³⁵,ɑ⁵⁵he⁵⁵kum⁵⁵"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangNusu,BlackLahu,BokarLhoba,DafangYi,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Kaman,LhasaTibetan,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,RangoonBurmese,Sulong,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu
i	i	I	Vowel	10217	U+0069	"pi tak,tshiŋ³³tshi³¹,ŋɑ³³ɬi⁵⁵"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
j	j	J	Consonant	2100	U+006A	"mjɑuʔ⁴⁴,phjɑʔ⁴⁴ku⁵⁵,tɔ̃³³jɔ̃⁵³"	AmdoTibetanBlabrang,AmdoTibetanZeku,Atsi,BijiangBai,BijiangNusu,BokarLhoba,CaiyuanHani,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MotuoTsangla,Muya,Namuyi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,Trung,Tujia,WrittenBurmese,WrittenTibetan,Xumi,YajiangQueyu
k	k	K	Consonant	2972	U+006B	"mdʐək cçak,suat⁵³na¹¹ɣɯək³³,ɑ⁵⁵ku⁵³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
l	l	L	Consonant	2953	U+006C	"de̱³³lɛ³³,do²¹le̱²¹,jup ɯ jɯŋ la◦ken"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
m	m	M	Consonant	4292	U+006D	"jim³⁵,len³¹moʔ⁵³,mi³⁵mɔ³⁵"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
n	n	N	Consonant	3331	U+006E	"bɯ⁴⁴nɑ⁴⁴,să³¹nit³¹|,wan³³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
o	o	U	Vowel	7859	U+006F	"dʑɑ̃³³tsho⁵⁵,hɑn lu²mjo³,tɕhi³³be̱³³thᴀ⁵⁵to³³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
p	p	P	Consonant	3114	U+0070	"mă³¹nam³³pjo̱³³,qɑ̃⁵⁵su⁵⁵pu⁵⁵,ɑ³¹pɑi³⁵tɯ⁵⁵kɯu³⁵"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
q	q	K	Consonant	279	U+0071	"mɛ qa,sqa⁵⁵,ʈo³³qɑ⁴⁴"	BijiangBai,BlackLahu,DanbaErgong,Guiqiong,MawoQiang,Muya,Namuyi,QinghuaPumi,TaopingQiang,Xumi,YajiangQueyu
r	r	R	Consonant	1434	U+0072	"hdʑak ri je,mrɑŋ¹,rta ri"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangNusu,BokarLhoba,DanbaErgong,Darang,Ersu,Guiqiong,Idu,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,MaerkangrGyalrong,MamaTshona,MawoQiang,MotuoTsangla,Muya,NanjianYi,Sulong,TaobaPumi,WrittenBurmese,WrittenTibetan,Xumi,YajiangQueyu,YongningNaxi
s	s	S	Consonant	1649	U+0073	"bɑn⁵⁵sɛ³¹,gʑes niŋ lo,n⁵⁵si⁵¹"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
t	t	T	Consonant	2629	U+0074	"mɯ³³sɯ⁵⁵tɯ³³,pu⁵³tɔ⁵⁵,stəʂ"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
u	u	Y	Vowel	7854	U+0075	"mə³³ɣu⁵³,thiuŋ⁵⁵bɑ⁵⁵,xɛ⁵⁵phu³³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
v	v	B	Consonant	939	U+0076	"kv³³di³³,lv³¹,ʂuə³³le³³mv³³"	Achang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Ersu,JianchuanBai,Jinuo,LijiangNaxi,Lisu,Maru,MileYi,MojiangYi,Muya,Namuyi,NanhuaYi,NanjianYi,ShuikuiHani,Sulong,XideYi,YongningNaxi
w	w	W	Consonant	550	U+0077	"ko⁵³wa⁵³ɕeʔ³¹,thi⁵⁵wi⁵⁵,ɑ twɪ̃⁵⁵"	AmdoTibetanBlabrang,AmdoTibetanZeku,BokarLhoba,DanbaErgong,Darang,Ersu,Guiqiong,Idu,Jingpho,Kaman,KhamsTibetan,LhasaTibetan,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MotuoTsangla,Muya,RangoonBurmese,Sulong,TaobaPumi,Trung,Tujia,WrittenBurmese,WrittenTibetan,Xumi,YajiangQueyu
x	x	G	Consonant	687	U+0078	"nu⁵⁵xu³¹,vu⁵³ze³³xᴀ³³pᴀ³³,xɑ⁵⁵lo⁵³tɑ³¹xɹo⁵³"	Achang,AmdoTibetanBlabrang,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,JianchuanBai,Jinuo,Kaman,KhamsTibetan,LijiangNaxi,Lisu,Maru,MawoQiang,MileYi,MojiangYi,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,ShuikuiHani,TaobaPumi,TaopingQiang,Trung,Tujia,XideYi,Xumi,YajiangQueyu,YongningNaxi
y	y	Y	Vowel	739	U+0079	"sgyɛ̃¹³,ʑy³³ndzɯ⁵³,χmə⁵⁵ye³³"	Anong,BijiangNusu,DafangYi,DanbaErgong,Guiqiong,Jinuo,KhamsTibetan,LhasaTibetan,LijiangNaxi,MamaTshona,MawoQiang,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,XideYi,Xumi,YajiangQueyu,YongningNaxi
z	z	S	Consonant	572	U+007A	"bu³³ɬ³³zɯ³³,si⁵⁵zi²¹pu²¹li²¹,ɕi zi"	AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,BijiangBai,BijiangNusu,BlackLahu,DafangYi,DaliBai,DanbaErgong,DazhaiHani,Ersu,Guiqiong,Jinuo,KhamsTibetan,LijiangNaxi,Lisu,MaerkangrGyalrong,MamaTshona,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,Xumi,YajiangQueyu,YongningNaxi
²	² +	6 _	Tone Marker	134	U+00B2	"mre²khwe³,nɑṁ²rɑṁ²,thɑṁ²phru²"	MileYi,WrittenBurmese
³	³ +	6 _	Tone Marker	118	U+00B3	"hȵo³jɔ²,khɔŋ³uṁ³,mjo³se¹"	Namuyi,Trung,WrittenBurmese
¹	¹ +	6 _	Tone Marker	194	U+00B9	"bɑ¹mɑ²lu²mjo³,hsɑj¹le³,pɑȵ̂²sɑ¹mɑ¹"	BokarLhoba,MileYi,WrittenBurmese
ã	ã	A	Vowel	257	U+00E3	"fã³¹tui⁵⁵,kã⁵⁵rã⁵⁵pu̵⁵³,pu³⁵rã³⁵"	CaiyuanHani,Ersu,Jinuo,LhasaTibetan,Maru,MojiangYi,Muya,Namuyi,QinghuaPumi,ShuikuiHani,TaobaPumi,YajiangQueyu
æ	æ	E	Vowel	37	U+00E6	"bæ³³,mə³³pæ³³mət³³cuoŋ³³,pɹæ³³dɯ³³"	ShuikuiHani,Sulong
ç	ç	C	Consonant	62	U+00E7	"cçak,ho rcçi,mdzək rcçi"	AmdoTibetanZeku,DafangYi,MaerkangrGyalrong,Sulong,Trung
ì	ì/i	I	Vowel	6	U+00EC	"khaɦi ȵìn ka,meʴ⁵⁵ȵì⁴⁴,ɑ³¹sɑ̆ŋ⁵⁵nì⁵³"	BijiangNusu,DaliBai,KhamsTibetan,Trung,WrittenTibetan
ï	ï	I	Vowel	2	U+00EF	"qo⁵⁵stï⁵⁵,tï⁵⁵tsɑ̆l⁵⁵tĭʔ⁵⁵"	QinghuaPumi,Trung
õ	õ	U	Vowel	476	U+00F5	"gɯ̃⁴²tõ²¹,qõ⁴²,tʂhõ⁵⁵tɕã⁵³"	BijiangBai,BijiangNusu,Guiqiong,JianchuanBai,Jinuo,LhasaTibetan,Lisu,MamaTshona,MileYi,MojiangYi,Muya,Namuyi,NanhuaYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,TaobaPumi,Xumi,YajiangQueyu
ø	ø	U	Vowel	519	U+00F8	"gøn¹³phᴀ⁵³,pøʔ⁵³,tsɿ⁵⁵pø⁵³"	DanbaErgong,DazhaiHani,Guiqiong,Jinuo,KhamsTibetan,LhasaTibetan,MamaTshona,Maru,MotuoTsangla,Muya,QinghuaPumi,TaobaPumi,YajiangQueyu
û	u	Y	Vowel	5	U+00FB	"mun²lɑ²û¹,nwe²û³,thɑn³û¹"	WrittenBurmese
ā	ā/a	A	Vowel	1	U+0101	"ɕẽ⁵⁵tʂhā⁵³"	TaobaPumi
ă	ă/a	A	Vowel	445	U+0103	"ka⁵⁵lă⁵⁵si⁵¹,lă³¹lam⁵⁵,mă³³niŋ³³"	Achang,Atsi,BijiangNusu,Jingpho,Kaman,Maru,Trung
ē	ē/e	E	Vowel	1	U+0113	"sē⁵⁵ʈɯ²¹ɯ⁴⁴"	BijiangBai
ĕ	ĕ/e	E	Vowel	33	U+0115	"kĕ²¹pu⁵⁵,pɯ³¹|ɹĕʔ⁵⁵,ʒĕ²¹"	Atsi,NanjianYi,Trung
ĩ	ĩ	I	Vowel	412	U+0129	"hsɑ̃²²pĩ²²,lĩ²¹,pu⁵³sĩ⁵⁵"	BijiangBai,BijiangNusu,Ersu,Guiqiong,JianchuanBai,Jinuo,LhasaTibetan,MojiangYi,Namuyi,NanhuaYi,NanjianYi,QinghuaPumi,RangoonBurmese,ShuikuiHani,TaobaPumi,Xumi,YajiangQueyu,YongningNaxi
ī	ī/i	I	Vowel	13	U+012B	"tɕhī⁵⁵pa⁵³,tʂu̪²¹ʐẽī²¹,ɕī⁵⁵"	Atsi,BijiangBai,JianchuanBai,Jingpho,LhasaTibetan,Maru,Namuyi,NanjianYi,RangoonBurmese,TaobaPumi
ĭ	ĭ/i	I	Vowel	43	U+012D	"mĭʔ⁵⁵,ɑ³¹tɕĭt⁵⁵,ɑŋ³¹nĭk⁵⁵ɹɑ³¹"	Atsi,Maru,Trung
į	į/i	I	Vowel	1	U+012F	"thį³¹lv̩⁵⁵"	ShuikuiHani
ı	ɪ	I	Vowel	1	U+0131	"niŋ zıŋ"	MotuoTsangla
ŋ	ŋ	N	Consonant	4563	U+014B	"in⁵⁵tsəŋ⁵⁵,phaŋ³³teʔ³¹,tɑ¹pɔŋ³"	Achang,AmdoTibetanBlabrang,AmdoTibetanZeku,Anong,Atsi,BijiangBai,BijiangNusu,BlackLahu,BokarLhoba,CaiyuanHani,DafangYi,DaliBai,DanbaErgong,Darang,DazhaiHani,Ersu,Guiqiong,Idu,JianchuanBai,Jingpho,Jinuo,Kaman,KhamsTibetan,LhasaTibetan,Lisu,MaerkangrGyalrong,MamaTshona,Maru,MawoQiang,MileYi,MojiangYi,MotuoTsangla,Muya,Namuyi,NanhuaYi,NanjianYi,RangoonBurmese,ShuikuiHani,Sulong,TaobaPumi,TaopingQiang,Trung,Tujia,WrittenBurmese,WrittenTibetan,XideYi,YajiangQueyu,YongningNaxi
ō	ō/o	U	Vowel	1	U+014D	"xə¹³gō⁵⁵"	QinghuaPumi
ŏ	ŏ/o	U	Vowel	21	U+014F	"jŏ²¹thuŋ²¹kuʔ²¹,nŏ²¹phjo²¹,thŏ⁵⁵tsen²¹"	Atsi,Trung
œ	œ	U	Vowel	1	U+0153	"te⁵⁵kœ³³lɑ³³kɐ³³"	Jinuo
ũ	ũ	Y	Vowel	244	U+0169	"htɑũ²²lɑiʔ⁴⁴,mjɑũ⁵⁵,m̥iɛ³³tsũ⁵⁵"	BijiangBai,BijiangNusu,Ersu,Guiqiong,JianchuanBai,Jinuo,Muya,Namuyi,RangoonBurmese,TaobaPumi,Xumi,YajiangQueyu
ū	ū/u	Y	Vowel	2	U+016B	"mun⁵¹tsūŋ⁵¹,ɑȵ̥ɑū⁵³htwɛʔ⁴⁴"	Atsi,RangoonBurmese
ŭ	ŭ/u	Y	Vowel	27	U+016D	"mɯ³¹nŭʔ⁵⁵,nŭŋ³⁵khap⁵⁵,xŭ²¹va²¹"	Atsi,Maru,Trung
ȳ	ȳ/y	Y	Vowel	11	U+0233	"bȳ²¹,lȳ²¹,ɕȳ³³"	NanjianYi
