ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Achang,Achang (Longchuan),acha1249,Longchuan Achang,acn,Eurasia,24.466605,97.89503,Sino-Tibetan,Burmish
Anong,Anong,nung1282,Nung (Myanmar),nun,Eurasia,,,Sino-Tibetan,
Atsi,Atsi [Zaiwa],zaiw1241,Zaiwa,atb,Eurasia,24.17,98.36,Sino-Tibetan,Burmish
BijiangBai,Bai (Bijiang),biji1251,Bijiang Bai,,Eurasia,,,Sino-Tibetan,Bai
DaliBai,Bai (Dali),dali1242,Dali,,Eurasia,,,Sino-Tibetan,Bai
JianchuanBai,Bai (Jianchuan),jian1239,Jianchuan,,Eurasia,,,Sino-Tibetan,Bai
BokarLhoba,Bokar Lhoba,boka1249,Bokar-Ramo,,Eurasia,,,Sino-Tibetan,
RangoonBurmese,Burmese (Spoken Rangoon),mand1476,Mandalay-Yangoon,,Eurasia,16.867489,96.191442,Sino-Tibetan,Burmish
WrittenBurmese,Burmese (Written),nucl1310,Burmese,mya,Eurasia,,,Sino-Tibetan,
Darang,Darang [Taraon],diga1241,Tawra,mhu,Eurasia,,,Sino-Tibetan,
DanbaErgong,Ergong (Danba),horp1239,Horpa,ero,Eurasia,,,Sino-Tibetan,
Ersu,Ersu,ersu1241,Ersu,ers,Eurasia,,,Sino-Tibetan,
Guiqiong,Guiqiong,guiq1238,Guiqiong,gqi,Eurasia,,,Sino-Tibetan,
CaiyuanHani,Hani (Caiyuan),biyo1243,Biyo,byo,Eurasia,,,Sino-Tibetan,
DazhaiHani,Hani (Dazhai),dazh1234,Dazhai,,Eurasia,,,Sino-Tibetan,
ShuikuiHani,Hani (Shuikui),honi1244,Honi,how,Eurasia,,,Sino-Tibetan,
Idu,Idu,idum1241,Idu,clk,Eurasia,,,Sino-Tibetan,
Jingpho,Jingpho,kach1280,Southern Jinghpaw,kac,Eurasia,,,Sino-Tibetan,
Jinuo,Jinuo,youl1235,Youle Jinuo,jiu,Eurasia,,,Sino-Tibetan,
Kaman,Kaman [Miju],miju1243,Kman,mxj,Eurasia,,,Sino-Tibetan,
BlackLahu,Lahu (Black),naaa1244,Na (Lahu),,Eurasia,,,Sino-Tibetan,
Lisu,Lisu,lisu1250,Lisu,lis,Eurasia,,,Sino-Tibetan,
Maru,Maru [Langsu],lawn1238,Lawng Hsu,,Eurasia,,,Sino-Tibetan,
Muya,Muya [Minyak],muya1239,Muya,mvm,Eurasia,,,Sino-Tibetan,
Namuyi,Namuyi,namu1246,Namuyi,nmy,Eurasia,,,Sino-Tibetan,
LijiangNaxi,Naxi (Lijiang),lich1241,Lichiang,,Eurasia,,,Sino-Tibetan,
YongningNaxi,Naxi (Yongning),yong1270,Yongning Na,nru,Eurasia,,,Sino-Tibetan,
BijiangNusu,Nusu (Bijiang),nusu1239,Nusu,nuf,Eurasia,,,Sino-Tibetan,
QinghuaPumi,Pumi (Qinghua),qing1238,Qinghua Pumi,,Eurasia,,,Sino-Tibetan,
TaobaPumi,Pumi (Taoba),taob1238,Taoba,,Eurasia,,,Sino-Tibetan,
MawoQiang,Qiang (Mawo),nort2722,Northern Qiang,cng,Eurasia,,,Sino-Tibetan,
TaopingQiang,Qiang (Taoping),taop1238,Taoping Qiang,,Eurasia,,,Sino-Tibetan,
YajiangQueyu,Queyu (Yajiang) [Zhaba],quey1238,Queyu,qvy,Eurasia,,,Sino-Tibetan,
Sulong,Sulung [Puroik],bugu1245,Chayangtajo,,Eurasia,,,Sino-Tibetan,
AmdoTibetanBlabrang,Tibetan (Amdo:Bla-brang),,,,,,,Sino-Tibetan,
AmdoTibetanZeku,Tibetan (Amdo:Zeku),,,,,,,Sino-Tibetan,
KhamsTibetan,Tibetan (Khams:Dege),kham1282,Khams Tibetan,khg,Eurasia,,,Sino-Tibetan,
LhasaTibetan,Tibetan (Lhasa),utsa1239,Lhasa Tibetan,,Eurasia,,,Sino-Tibetan,
WrittenTibetan,Tibetan (Written),clas1254,Classical Tibetan,xct,Eurasia,,,Sino-Tibetan,
Trung,Trung [Dulong],drun1238,Drung,duu,Eurasia,27.749017,98.691868,Sino-Tibetan,Nungic
MotuoTsangla,Tsangla (Motuo),tsha1245,Tshangla,tsj,Eurasia,,,Sino-Tibetan,
MamaTshona,Tshona (Mama),dzal1238,Dzalakha,dzl,Eurasia,,,Sino-Tibetan,
Tujia,Tujia,tuji1244,Tujia,,,,,Sino-Tibetan,
Xumi,Xumi,shix1238,Shixing,sxg,Eurasia,,,Sino-Tibetan,
DafangYi,Yi (Dafang),dafa1241,Dafang,,Eurasia,,,Sino-Tibetan,
MileYi,Yi (Mile),axiy1235,Axi Yi,yix,Eurasia,27.16,105.61,Sino-Tibetan,Nesu
MojiangYi,Yi (Mojiang),sout2723,Southern Nisu,nsd,Eurasia,24.41,103.43,Sino-Tibetan,Nesu
NanhuaYi,Yi (Nanhua),nanh1240,Nanhua Lolopho,,Eurasia,23.43,101.69,Sino-Tibetan,Nesu
NanjianYi,Yi (Nanjian),xish1235,Xishanba Lalo,ywt,Eurasia,25.19,101.27,Sino-Tibetan,Nesu
XideYi,Yi (Xide),yish1238,Yishengzha Yi,,Eurasia,25.04,100.51,Sino-Tibetan,Nesu
MaerkangrGyalrong,rGyalrong,maer1238,Maerkang,,Eurasia,28.33,102.42,Sino-Tibetan,Nesu
